epoch,batch_idx,subject,session,processing_time_seconds,batch_processing_time_seconds,phase
1,0,subject-67,session-01,2.079946279525757,4.159892559051514,training
1,0,subject-31,session-00,2.079946279525757,4.159892559051514,training
1,1,subject-63,session-00,0.016753315925598145,0.03350663185119629,training
1,1,subject-50,session-04,0.016753315925598145,0.03350663185119629,training
1,2,subject-50,session-01,0.011545300483703613,0.023090600967407227,training
1,2,subject-18,session-03,0.011545300483703613,0.023090600967407227,training
1,3,subject-38,session-01,0.011633515357971191,0.023267030715942383,training
1,3,subject-57,session-04,0.011633515357971191,0.023267030715942383,training
1,4,subject-13,session-02,0.011589646339416504,0.023179292678833008,training
1,4,subject-05,session-02,0.011589646339416504,0.023179292678833008,training
1,5,subject-45,session-00,0.010878682136535645,0.02175736427307129,training
1,5,subject-48,session-03,0.010878682136535645,0.02175736427307129,training
1,6,subject-21,session-01,0.011934161186218262,0.023868322372436523,training
1,6,subject-40,session-01,0.011934161186218262,0.023868322372436523,training
1,7,subject-54,session-05,0.012104034423828125,0.02420806884765625,training
1,7,subject-01,session-08,0.012104034423828125,0.02420806884765625,training
1,8,subject-36,session-00,0.011549830436706543,0.023099660873413086,training
1,8,subject-06,session-02,0.011549830436706543,0.023099660873413086,training
1,9,subject-15,session-01,0.011488676071166992,0.022977352142333984,training
1,9,subject-62,session-03,0.011488676071166992,0.022977352142333984,training
1,10,subject-30,session-00,0.011461019515991211,0.022922039031982422,training
1,10,subject-43,session-02,0.011461019515991211,0.022922039031982422,training
1,11,subject-36,session-04,0.011468768119812012,0.022937536239624023,training
1,11,subject-06,session-01,0.011468768119812012,0.022937536239624023,training
1,12,subject-53,session-02,0.009963154792785645,0.01992630958557129,training
1,12,subject-09,session-01,0.009963154792785645,0.01992630958557129,training
1,13,subject-13,session-01,0.011701703071594238,0.023403406143188477,training
1,13,subject-58,session-05,0.011701703071594238,0.023403406143188477,training
1,14,subject-31,session-01,0.010386109352111816,0.020772218704223633,training
1,14,subject-55,session-02,0.010386109352111816,0.020772218704223633,training
1,15,subject-46,session-02,0.012925982475280762,0.025851964950561523,training
1,15,subject-25,session-01,0.012925982475280762,0.025851964950561523,training
1,16,subject-51,session-04,0.012463569641113281,0.024927139282226562,training
1,16,subject-18,session-00,0.012463569641113281,0.024927139282226562,training
1,17,subject-01,session-01,0.011658787727355957,0.023317575454711914,training
1,17,subject-57,session-00,0.011658787727355957,0.023317575454711914,training
1,18,subject-18,session-01,0.011537551879882812,0.023075103759765625,training
1,18,subject-06,session-05,0.011537551879882812,0.023075103759765625,training
1,19,subject-51,session-05,0.01145946979522705,0.0229189395904541,training
1,19,subject-12,session-00,0.01145946979522705,0.0229189395904541,training
1,20,subject-48,session-06,0.011532068252563477,0.023064136505126953,training
1,20,subject-53,session-03,0.011532068252563477,0.023064136505126953,training
1,21,subject-45,session-01,0.01040351390838623,0.02080702781677246,training
1,21,subject-37,session-01,0.01040351390838623,0.02080702781677246,training
1,22,subject-08,session-00,0.01184225082397461,0.02368450164794922,training
1,22,subject-21,session-00,0.01184225082397461,0.02368450164794922,training
1,23,subject-55,session-04,0.011799454689025879,0.023598909378051758,training
1,23,subject-36,session-03,0.011799454689025879,0.023598909378051758,training
1,24,subject-07,session-04,0.011527657508850098,0.023055315017700195,training
1,24,subject-33,session-06,0.011527657508850098,0.023055315017700195,training
1,25,subject-62,session-02,0.010488271713256836,0.020976543426513672,training
1,25,subject-51,session-01,0.010488271713256836,0.020976543426513672,training
1,26,subject-17,session-01,0.011937379837036133,0.023874759674072266,training
1,26,subject-05,session-05,0.011937379837036133,0.023874759674072266,training
1,27,subject-02,session-03,0.011527538299560547,0.023055076599121094,training
1,27,subject-54,session-04,0.011527538299560547,0.023055076599121094,training
1,28,subject-19,session-00,0.018878459930419922,0.037756919860839844,training
1,28,subject-39,session-02,0.018878459930419922,0.037756919860839844,training
1,29,subject-11,session-05,0.011760354042053223,0.023520708084106445,training
1,29,subject-45,session-05,0.011760354042053223,0.023520708084106445,training
1,30,subject-48,session-00,0.010627508163452148,0.021255016326904297,training
1,30,subject-45,session-02,0.010627508163452148,0.021255016326904297,training
1,31,subject-47,session-01,0.011157989501953125,0.02231597900390625,training
1,31,subject-13,session-03,0.011157989501953125,0.02231597900390625,training
1,32,subject-39,session-03,0.010734796524047852,0.021469593048095703,training
1,32,subject-28,session-00,0.010734796524047852,0.021469593048095703,training
1,33,subject-05,session-03,0.010380864143371582,0.020761728286743164,training
1,33,subject-09,session-00,0.010380864143371582,0.020761728286743164,training
1,34,subject-01,session-00,0.01161491870880127,0.02322983741760254,training
1,34,subject-01,session-03,0.01161491870880127,0.02322983741760254,training
1,35,subject-57,session-06,0.011531829833984375,0.02306365966796875,training
1,35,subject-01,session-10,0.011531829833984375,0.02306365966796875,training
1,36,subject-02,session-00,0.018749237060546875,0.03749847412109375,training
1,36,subject-47,session-00,0.018749237060546875,0.03749847412109375,training
1,37,subject-56,session-01,0.009808659553527832,0.019617319107055664,training
1,37,subject-48,session-02,0.009808659553527832,0.019617319107055664,training
1,38,subject-20,session-00,0.011612892150878906,0.023225784301757812,training
1,38,subject-29,session-01,0.011612892150878906,0.023225784301757812,training
1,39,subject-39,session-01,0.012088418006896973,0.024176836013793945,training
1,39,subject-33,session-04,0.012088418006896973,0.024176836013793945,training
1,40,subject-38,session-03,0.011637568473815918,0.023275136947631836,training
1,40,subject-54,session-00,0.011637568473815918,0.023275136947631836,training
1,41,subject-55,session-00,0.0115128755569458,0.0230257511138916,training
1,41,subject-28,session-01,0.0115128755569458,0.0230257511138916,training
1,42,subject-39,session-05,0.011487603187561035,0.02297520637512207,training
1,42,subject-01,session-13,0.011487603187561035,0.02297520637512207,training
1,43,subject-33,session-00,0.011461853981018066,0.022923707962036133,training
1,43,subject-46,session-00,0.011461853981018066,0.022923707962036133,training
1,44,subject-25,session-00,0.011558055877685547,0.023116111755371094,training
1,44,subject-27,session-01,0.011558055877685547,0.023116111755371094,training
1,45,subject-30,session-01,0.011862754821777344,0.023725509643554688,training
1,45,subject-51,session-07,0.011862754821777344,0.023725509643554688,training
1,46,subject-50,session-03,0.01158750057220459,0.02317500114440918,training
1,46,subject-55,session-01,0.01158750057220459,0.02317500114440918,training
